"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2020","7,848.0","8,029.9","8,267.3","7,664.7","6.37K","-2.27%"
"01/18/2020","8,029.9","8,020.4","8,086.0","7,950.0","2.02K","0.12%"
"01/17/2020","8,020.4","7,824.7","8,100.5","7,785.5","6.11K","2.45%"
"01/16/2020","7,828.7","7,912.3","7,939.6","7,712.3","3.98K","-1.04%"
"01/15/2020","7,911.0","7,916.1","7,982.6","7,700.0","6.73K","-0.22%"
"01/14/2020","7,928.5","7,290.0","7,979.9","7,290.0","9.53K","8.76%"
"01/13/2020","7,290.0","7,347.9","7,360.0","7,237.6","3.24K","-0.79%"
"01/12/2020","7,347.9","7,216.8","7,348.0","7,165.0","1.29K","1.82%"
"01/11/2020","7,216.8","7,361.0","7,438.5","7,203.0","2.90K","-1.96%"
"01/10/2020","7,361.0","7,038.5","7,361.0","6,931.5","5.61K","4.58%"
"01/09/2020","7,038.5","7,248.3","7,248.9","6,980.5","4.46K","-2.87%"
"01/08/2020","7,246.6","7,317.6","7,587.7","7,081.0","9.41K","-1.03%"
"01/07/2020","7,321.9","6,940.0","7,365.1","6,937.2","7.60K","5.50%"
"01/06/2020","6,940.0","6,588.0","6,962.9","6,580.0","4.07K","5.34%"
"01/05/2020","6,588.0","6,589.4","6,711.1","6,559.2","1.94K","-0.02%"
"01/04/2020","6,589.4","6,569.8","6,622.9","6,522.5","1.48K","0.30%"
"01/03/2020","6,569.8","6,219.2","6,627.5","6,143.0","5.07K","5.64%"
"01/02/2020","6,219.2","6,401.1","6,406.4","6,201.1","3.17K","-2.81%"
"01/01/2020","6,399.0","6,397.4","6,465.0","6,380.0","1.38K","0.03%"
"12/31/2019","6,397.4","6,449.8","6,511.5","6,335.3","3.03K","-0.81%"
"12/30/2019","6,449.8","6,606.7","6,606.7","6,430.1","3.56K","-2.37%"
"12/29/2019","6,606.7","6,536.7","6,729.8","6,519.4","2.11K","1.07%"
"12/28/2019","6,536.6","6,485.0","6,584.8","6,473.2","1.69K","0.80%"
"12/27/2019","6,485.0","6,489.9","6,507.3","6,352.0","2.84K","-0.08%"
"12/26/2019","6,489.9","6,481.7","6,688.1","6,445.3","2.29K","0.12%"
"12/25/2019","6,481.8","6,547.6","6,561.3","6,414.8","3.48K","-1.00%"
"12/24/2019","6,547.6","6,600.1","6,707.9","6,466.7","2.64K","-0.86%"
"12/23/2019","6,604.5","6,785.7","6,935.7","6,559.1","4.41K","-2.78%"
"12/22/2019","6,793.2","6,455.6","6,794.0","6,438.5","2.55K","5.23%"
"12/21/2019","6,455.6","6,500.5","6,500.6","6,435.4","1.02K","-0.69%"
"12/20/2019","6,500.5","6,432.0","6,521.2","6,370.2","3.39K","1.08%"
"12/19/2019","6,430.9","6,557.3","6,629.4","6,329.4","3.90K","-1.92%"
"12/18/2019","6,556.9","5,925.7","6,700.3","5,801.0","7.24K","10.65%"
"12/17/2019","5,925.6","6,182.1","6,222.0","5,890.0","5.72K","-4.15%"
"12/16/2019","6,182.1","6,390.1","6,401.9","6,135.0","4.63K","-3.26%"
"12/15/2019","6,390.1","6,351.3","6,478.9","6,308.6","1.98K","0.60%"
"12/14/2019","6,352.2","6,524.8","6,538.0","6,305.0","1.68K","-2.65%"
"12/13/2019","6,524.8","6,431.8","6,556.6","6,431.8","1.74K","1.45%"
"12/12/2019","6,431.8","6,478.4","6,550.0","6,359.9","2.81K","-0.72%"
"12/11/2019","6,478.4","6,515.4","6,569.8","6,448.1","2.63K","-0.57%"
"12/10/2019","6,515.3","6,635.2","6,684.5","6,463.1","3.72K","-1.81%"
"12/09/2019","6,635.2","6,803.7","6,917.8","6,594.5","3.86K","-2.48%"
"12/08/2019","6,803.7","6,778.6","6,848.0","6,680.2","0.89K","0.37%"
"12/07/2019","6,778.6","6,828.0","6,885.0","6,765.7","1.61K","-0.72%"
"12/06/2019","6,828.0","6,659.5","6,867.7","6,592.4","3.42K","2.52%"
